n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,paar,grupp
224695,39.28480829568971,-0.022108928647957656,0.9617443955442527,-1.847026713892564,-100.0,-8.400309719567401,0.0,1.41484106238429,-0.951864782884804,EURUSD,
217637,38.97774734994509,-0.029566067988707503,0.9491312997610164,-2.4375373903783992,-100.0,-11.085962578771698,0.0,1.4153129795621324,-0.9524774326286568,GBPUSD,
237980,39.60963106143374,-0.0026804590817239666,0.995344370004115,-0.22753265542898518,-99.99999999969843,-1.034822486617409,0.3007518194001504,1.446782647697389,-0.9533734239663204,USDJPY,
211391,38.833725182245225,-0.027125309642055746,0.9533224442043053,-2.216779271376457,-100.0,-9.99281424626471,0.0,1.4265840453006198,-0.9500677277132018,AUDUSD,
226373,38.45776660644158,-0.02365831683050827,0.9599134903953508,-1.9529596662172326,-100.0,-8.88209463493552,0.0,1.473104771004723,-0.9589861774396283,NZDUSD,
236409,38.770943576598185,-0.03095969877504611,0.9471540047801663,-2.6438593431278385,-100.0,-12.024318419542745,0.0,1.4311952119354587,-0.9568130248722991,USDCAD,
233412,38.52458314054119,-0.03578526432421547,0.9390128225998375,-3.0485545193208328,-100.0,-13.864879141521449,0.0,1.4302082215543837,-0.9544742430315177,USDCHF,
234510,38.521598226088436,0.017635275720622557,1.0282699951997605,1.386425548879656,-98.49730556011373,6.305487585052751,2.8728797119015326e-10,1.665173095704426,-1.0146913322009496,EURGBP,
252343,40.375599877943905,0.08183677535954323,1.1371195984022644,6.610758260124279,-70.12965003576966,30.065843903902852,0.0,1.6808777662567698,-1.0009789696162235,EURJPY,
261291,40.11848858169627,0.07980518391739139,1.1325842621796272,6.528842531755738,-67.30284552707779,29.69328974211192,0.0,1.699280548599857,-1.0051858656988433,GBPJPY,
228082,39.05393674204891,0.05645302041674021,1.09246740698171,4.365511653224033,-67.87676115398502,19.674908671449415,0.0,1.7078203114959636,-1.0017349949557361,AUDJPY,
244828,40.46269217573153,0.003529226792043953,1.005713314382139,0.28806711880764585,-99.99999975838722,1.3100475728911711,0.19017974249105762,1.5353622903424209,-1.0375337970516658,EURCHF,
208298,41.17562338572622,0.08418438256016718,1.1448341391088215,6.3330128477590515,-51.74248977467661,28.51914025981044,0.0,1.6160804531798845,-0.988105360236796,EURAUD,
212193,40.386346392199556,0.06131827284124958,1.1019365038984674,4.618466447267871,-61.205642605110924,20.8051277040119,0.0,1.6412781326492458,-1.0090540717859788,GBPAUD,
232692,37.772678046516425,-0.024049839198811988,0.9619808935216451,-1.9321100897885826,-100.0,-8.709580371798934,0.0,1.6110126122199981,-1.0165509725363229,AUDCAD,
3462134,39.35832639637865,0.013150164443349118,1.022038353765937,4.107196628890065,-99.97341128235911,18.67960192580438,0.0,1.5494679742847526,-0.9839677285017532,,ALL
1587897,38.925194770189755,-0.02443599537265324,0.9580643859062263,-5.403375625356689,-100.0,-24.57464661596528,0.0,1.434203999464081,-0.9540803173638026,,MAJORS
1874237,39.725285542863574,0.044994029660688606,1.0739366156131318,9.992543591477242,-86.64734536082453,45.44626259237188,0.0,1.6451554680391463,-1.009625152309361,,CROSSES
979696,39.81326860577158,0.05485511410267532,1.0919998598234528,8.870908296883767,-75.73451062964492,40.345045703566534,0.0,1.6354026826603876,-0.9906704267181331,,JPY
1164674,39.95324013414913,0.032814600692385856,1.0546709092854374,5.845140107951128,-87.84996596594745,26.583799190200104,0.0,1.5844399652248629,-0.9995884952598137,,EUR
1555438,39.168452873081414,0.012483723229878419,1.020876931262113,2.609438944420047,-99.9887734898122,11.867773845692437,0.0,1.5585274037358365,-0.982988887606058,,COMMODITY
