null,n_perm,tegelik_bp,mediaan_bp,p05_bp,p95_bp,max_bp,p
A juhuslik suund,500,1.4658034583176986,-0.15837487951588214,-3.0537785719718245,3.200454595240597,5.298727227903264,0.218
B segatud ullatus,500,1.4658034583176986,0.14457789232637072,-2.619515194956166,3.4854108294165647,7.063419340392125,0.26
