n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,sl,tp,hold,bruto,kulu,katse_sd
1183511,49.89814205360153,-0.06359957594552677,0.880067731652242,,-100.0,-69.2104102222429,0.0,0.9352977608756669,-1.0584353615364104,SLxTP,1.0,1.0,20,-0.0009572849238021887,0.06264229102172458,0.015479679232521444
1101006,42.0787897613637,-0.016113426919328842,0.9736132133272792,,-100.0,-13.800859943328703,0.0,1.4129429490855192,-1.0542989647438243,SLxTP,1.0,1.5,20,0.046736141524902415,0.06284956844423126,0.019118698561011636
1036970,37.00203477439077,0.01914805647060201,1.0289615028887318,,-99.20526222686279,13.787775548245573,0.0,1.838557109068932,-1.0494870461393133,SLxTP,1.0,2.0,20,0.08215774306451049,0.06300968659390847,0.021622796953502197
989500,33.89065184436584,0.04746005380529447,1.068667472735046,,-94.78928987789821,30.049980290001717,0.0,2.179414476621823,-1.0454765294088164,SLxTP,1.0,2.5,20,0.11059844409597522,0.06313839029068075,0.025355021087002296
954939,31.97261814628997,0.06759257899377574,1.0952630755023933,,-94.34145567063678,38.883154302166524,0.0,2.4306065543747537,-1.0430152593568673,SLxTP,1.0,3.0,20,0.13079017679718022,0.06319759780340448,0.02817770551377485
1010186,49.796671108092966,-0.043345840065782675,0.9144892631294449,,-100.0,-44.36753647714723,0.0,0.9309043826002317,-1.009704425958412,SLxTP,1.5,1.0,20,-0.0012168755824486478,0.042128964483334023,0.015362619590813033
919398,42.759610092691084,-0.010052212114674436,0.9823210790376781,,-100.0,-8.223471814568276,2.220446049250313e-16,1.306247935301853,-0.9933523112164743,SLxTP,1.5,1.5,20,0.03228847655395947,0.042340688668633907,0.0192513963817349
865826,39.38331720230161,0.014005948867083737,1.023482281379572,,-99.84233328121422,9.946301659298786,0.0,1.5500306428502293,-0.9839659783595814,SLxTP,1.5,2.0,20,0.05641990201691453,0.0424139531498308,0.0220780739488845
833885,37.84130905340665,0.03225391802042956,1.05293064979613,,-97.68242266036688,20.85851748951933,0.0,1.6955432345801273,-0.9803324816391752,SLxTP,1.5,2.5,20,0.07467244218695494,0.04241852416652538,0.024418429547164607
815069,37.12839035713541,0.04689127823682155,1.0761851120707782,,-91.8265387195192,28.437147067768752,0.0,1.7840327356535586,-0.9789654876850545,SLxTP,1.5,3.0,20,0.08928431613330193,0.04239303789648038,0.025823054295710256
881368,49.71816539742763,-0.03143782150900959,0.9330375412594756,,-100.0,-31.402294326268432,0.0,0.8810591696349916,-0.9337055428230516,SLxTP,2.0,1.0,20,0.00039823710491819643,0.031836058613927784,0.015674466162319628
807275,44.44185686414171,-0.006286937052145925,0.9876285683153099,,-100.0,-5.196423555445752,2.0315908710877295e-07,1.1293293064000374,-0.9146847289056798,SLxTP,2.0,1.5,20,0.025658822944480023,0.031945759996625946,0.0189341881290322
770887,42.60079622564656,0.012951897741904072,1.0248317130243862,,-98.75774828422591,9.602161617272285,0.0,1.2547626017989264,-0.908700691069739,SLxTP,2.0,2.0,20,0.04489510891354894,0.03194321117164487,0.020551576751370603
752503,41.87079652838593,0.026011916100257094,1.0493739193711213,,-95.64688402718231,18.04339470943344,0.0,1.3203643339846542,-0.9063175067814273,SLxTP,2.0,2.5,20,0.05792145272354734,0.03190953662329024,0.022556280753036867
743116,41.548156680787386,0.034773812264198935,1.065714161190095,,-89.51875170708585,23.10196160282033,0.0,1.3573202000337021,-0.9053054293188518,SLxTP,2.0,3.0,20,0.06667107879788049,0.03189726653368156,0.023735316353341196
795971,49.520773998047666,-0.02555248197428792,0.9400249916046348,,-100.0,-25.81759359957939,0.0,0.8087508481442838,-0.8440148461758,SLxTP,2.5,1.0,20,4.6873830664562705e-05,0.025599355804952484,0.01558111886366247
739622,45.926838303890364,-0.004377342743117186,0.9902553311294896,,-100.0,-3.778281758860185,0.0001579141552914276,0.9685545980424792,-0.8307334595959097,SLxTP,2.5,1.5,20,0.021238841458895232,0.025616184202012417,0.01776660127847847
716036,44.900954700601645,0.009911519664220256,1.0217398954820602,,-97.1312119454776,7.8714610536936425,3.552713678800501e-15,1.0374509466986084,-0.8274442097436182,SLxTP,2.5,2.0,20,0.035494129557307706,0.02558260989308745,0.01971936459678145
705754,44.550084023611625,0.019494933390189578,1.0425650177819696,,-88.80708598334532,14.745824652806935,0.0,1.071824197695315,-0.8259771709365638,SLxTP,2.5,2.5,20,0.04506668034866286,0.025571746958473283,0.020570970919386772
700568,44.45835379292232,0.026006275359221856,1.056734888513586,,-82.32125346872654,19.07701572762639,0.0,1.0895335783621813,-0.8252949793614713,SLxTP,2.5,3.0,20,0.05156953852777582,0.025563263168553965,0.020810353188563117
