paar,n,sigma_30min_pct,lot001_eur,sigma_eur,pct_kontost,risk,eur,taidetav,n_paari,vajalik_konto_min,vajalik_konto_max
AUDUSD,4.0,0.1060051178406904,866.699983500002,0.9187463388344214,0.44816894577288846,,,,,,
EURUSD,10.0,0.036955593284982415,1000.0,0.36955593284982413,0.18027118675601178,,,,,,
GBPUSD,3.0,0.10581384970503567,866.699983500002,0.9170886179342611,0.44736030143134686,,,,,,
USDCAD,3.0,0.10953094416773128,866.699983500002,0.9493046750291234,0.46307545123371874,,,,,,
USDCHF,4.0,0.07424256806754422,866.699983500002,0.6434603251913834,0.31388308545921145,,,,,,
KOKKU,,,,,,0.0025,0.5125,1.0,5.0,147.82237313992965,379.72187001164934
KOKKU,,,,,,0.005,1.025,5.0,5.0,73.91118656996483,189.86093500582467
