n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,tase,paar,rezhiim
1004,38.54581673306773,-0.02492325945169234,0.9578509280448443,-0.13719921341911945,-47.57765605755581,-0.6229097917710208,0.5333438030800977,-25.022952489499108,KOIK PAARID,-,HIGH_VOLATILITY
389,38.81748071979435,-0.05960609362762581,0.8966513170337133,-0.3357605475809563,-28.663649162944882,-0.9765934156844758,0.3287704800953475,-23.18677042114644,KOIK PAARID OOS,-,HIGH_VOLATILITY
67,31.343283582089555,-0.18529011287935093,0.7249508436411407,-0.2905619253413621,-15.313531262925729,-1.2226299290234997,0.2214695036236114,-12.414437562916513,PAAR,EURUSD,HIGH_VOLATILITY
67,31.343283582089555,-0.20548219749028393,0.6811761820949195,-0.3337379470051595,-15.729082783074755,-1.4207140267627307,0.15539991304933043,-13.767307231849024,PAAR,GBPUSD,HIGH_VOLATILITY
65,38.46153846153847,-0.09853703732030676,0.8317705942232222,-0.15226697718879229,-16.488358032695103,-0.6694894221938535,0.503183326071921,-6.40490742581994,PAAR,USDJPY,HIGH_VOLATILITY
53,37.735849056603776,0.031671720337214174,1.0595297055803488,0.04313203092555258,-8.078166160288202,0.18595493136302704,0.8524801043666903,1.678601177872351,PAAR,AUDUSD,HIGH_VOLATILITY
55,32.72727272727273,-0.1622633876633572,0.7341850326809154,-0.2340010899966268,-11.693334961957136,-1.0359018653837084,0.30024792729335714,-8.924486321484647,PAAR,NZDUSD,HIGH_VOLATILITY
59,32.20338983050847,-0.26798959237423503,0.5810214741258715,-0.4355258780388966,-18.636828141200045,-1.8871985451086661,0.059133625928706746,-15.811385950079867,PAAR,USDCAD,HIGH_VOLATILITY
65,50.76923076923077,0.20466951294134486,1.4376822672138625,0.2898173893475619,-6.402024760023939,1.2937052881171145,0.19576723805673613,13.303518341187416,PAAR,USDCHF,HIGH_VOLATILITY
52,30.76923076923077,-0.17782075193257735,0.7398684376775898,-0.23853097290481765,-16.112672087860947,-1.0080297659506423,0.31344017270651126,-9.246679100494022,PAAR,EURGBP,HIGH_VOLATILITY
68,50.0,0.23227153590391036,1.4641112669988392,0.3399123673558803,-7.637814441834134,1.4496193588796016,0.14716469452874614,15.794464441465905,PAAR,EURJPY,HIGH_VOLATILITY
75,40.0,0.03948317975759842,1.0666656662364356,0.05701472196745226,-10.296681339224456,0.25813435893069997,0.7963032153125584,2.9612384818198816,PAAR,GBPJPY,HIGH_VOLATILITY
74,43.24324324324324,0.14754367994907716,1.2686606055473562,0.21699173968330138,-9.75696666433754,0.9348262659828032,0.34987784098482244,10.91823231623171,PAAR,AUDJPY,HIGH_VOLATILITY
81,38.2716049382716,-0.07295209700864931,0.8819950705237273,-0.11650733326537367,-14.902618125960077,-0.5083282713087676,0.6112231466244047,-5.909119857700594,PAAR,EURCHF,HIGH_VOLATILITY
