n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,kum_bruto,kum_neto,valuuta
38,2.3401100394578185,-0.7483601156111839,-0.15988996054218152,42.10526315789473,38.964486234803985,0.3702193584381706,0.711219053797828,0.008932073156026732,-0.0006073973095843677,USD
95,1.741447635770168,0.7906999310487023,-0.758552364229832,52.63157894736842,23.600387501207784,0.7192056472478244,0.4720142203879063,0.01668135820456662,-0.0071803447168276024,EUR
34,2.495245341078153,9.035735540197775,-0.00475465892184701,52.94117647058824,25.136956322201666,0.5788153252592837,0.5627137892637228,0.008519923868195223,-1.6165709667781414e-05,GBP
9,,,,,,,,,,JPY
39,2.025867976031759,0.19063712402605376,-0.47413202396824117,51.28205128205128,44.891506503960734,0.2818248359346442,0.7780778261881882,0.007932179462668332,-0.0018474063338014268,CHF
18,,,,,,,,,,CAD
36,1.4893584890646854,-1.533941777690862,-1.0106415109353146,44.44444444444444,31.412817170788443,0.2844746743280975,0.7760466396154821,0.005376090147340085,-0.003631698811179307,AUD
7,,,,,,,,,,NZD
