aasta,n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,kum_bruto,kum_neto
2023,11,,,,,,,,,
2024,84,-1.9940766762710913,-0.6114673516154165,-4.494076676271091,47.61904761904761,33.52225296364466,-0.5451905228725837,0.5856224888992263,-0.01661073874447716,-0.037046585824641154
2025,100,0.6879586155605092,-1.8114148299134842,-1.8120413844394907,49.0,37.04406885559519,0.18571356679049011,0.8526693886445178,0.006903304868888238,-0.017957226307287244
2026,81,2.7942755998174262,0.1209757715320281,0.29427559981742624,50.617283950617285,18.641311593525526,1.3490724765896502,0.17731368776128287,0.022891716464236378,0.0023864754686591105
