n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,kum_bruto,kum_neto,loik,algus_h,lopp_h
405,9.552145914570813,4.079601511586158,9.552145914570813,72.34567901234567,16.704374661293812,11.50795718257112,0.0,0.4723531593094783,0.4723531593094783,"0h->1h  (TEATEHUPE, ei ole kaubeldav)",0,1
405,0.41723335703837366,0.27061420168922323,0.41723335703837366,54.32098765432099,8.353233701146486,1.0051986619519275,0.31480119935704476,0.017041528917710824,0.017041528917710824,1h->2h,1,2
405,-0.5697040508400697,-0.39850559446214306,-0.5697040508400697,48.888888888888886,11.923441680811678,-0.9615573396957356,0.3362720094172431,-0.022808867522538412,-0.022808867522538412,2h->4h,2,4
405,-0.45933155793246794,-1.7288083970678005,-0.45933155793246794,43.45679012345679,12.878681307252483,-0.7177652019795964,0.47290207278675167,-0.018430961640323762,-0.018430961640323762,4h->8h,4,8
405,0.1962363592648478,-0.34620196469272235,0.1962363592648478,46.913580246913575,9.863091146386164,0.40039988398631127,0.6888620096780758,0.00797923833807368,0.00797923833807368,8h->12h,8,12
356,-0.40835598681550994,0.0,-0.40835598681550994,42.97752808988764,11.937592054231413,-0.6454270940535853,0.5186504500820099,-0.014432314266245139,-0.014432314266245139,12h->16h,12,16
298,-0.18968954955592113,0.6981354050422834,-0.18968954955592113,52.013422818791945,13.410357739152325,-0.2441806097509191,0.8070909437890863,-0.005636801855281703,-0.005636801855281703,16h->24h,16,24
276,2.004929642654301,2.8807414698679006,2.004929642654301,56.52173913043478,20.026894694869494,1.6631831012134408,0.09627578924833768,0.056895733413328875,0.056895733413328875,24h->32h,24,32
186,-0.8342901924802257,-0.6122654320192198,-0.8342901924802257,47.8494623655914,19.16155705657219,-0.5938035828438082,0.5526434924271675,-0.015398016936898018,-0.015398016936898018,32h->48h,32,48
