n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,vahemik
223,-0.8741931252225746,0.0,47.53363228699551,12.118816792133796,-12.645638007613817,0.8682393761233083,15.928084136615125,-0.8195892949696884,0.41245027832719794,2.2457399103139015,0.0,-3.119933035536476,1.0 <= |z| < 1.5
95,-0.0806583682233022,-2.8184734207241973,40.0,14.48832059090489,-9.793311007642096,0.9862732212220564,16.306492686203544,-0.048211503380217915,0.9615476824778764,2.3178947368421046,0.0,-2.398553105065407,1.5 <= |z| < 2.0
90,1.8409443467967215,-0.9207375576413115,46.666666666666664,15.855354289689124,-10.421664353234126,1.3312110746660801,18.725061822206147,0.9326928642635568,0.35097857023781875,2.2044444444444444,0.0,-0.36350009764772284,|z| >= 2.0
