n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,sl,tp,hold,bruto,kulu,katse_sd
1158302,62.970624241346385,-0.09250241568654283,0.7574536270054943,,-100.0,-137.80698145971715,0.0,0.4587502783044354,-1.0299399377658496,TP,1.5,0.5,20,-0.050758551582062196,0.04174386410448063,0.010872527182812654
1075653,55.37798899831079,-0.06647787868354284,0.8539500342954417,,-100.0,-79.95664579403032,0.0,0.7018930997287706,-1.020061964966153,TP,1.5,0.75,20,-0.024542377587010118,0.04193550109653272,0.013150194171292578
1010186,49.796671108092966,-0.043345840065782675,0.9144892631294449,,-100.0,-44.36753647714723,0.0,0.9309043826002317,-1.009704425958412,TP,1.5,1.0,20,-0.0012168755824486478,0.042128964483334023,0.015362619590813033
959445,45.702254949476,-0.024777463548277295,0.9544043252878681,,-100.0,-22.376917229023014,0.0,1.1348225822535465,-1.0008094678855837,TP,1.5,1.25,20,0.01747237503557831,0.0422498385838556,0.01715576227179405
919398,42.759610092691084,-0.010052212114674436,0.9823210790376781,,-100.0,-8.223471814568276,2.220446049250313e-16,1.306247935301853,-0.9933523112164743,TP,1.5,1.5,20,0.03228847655395947,0.042340688668633907,0.0192513963817349
865826,39.38331720230161,0.014005948867083737,1.023482281379572,,-99.84233328121422,9.946301659298786,0.0,1.5500306428502293,-0.9839659783595814,TP,1.5,2.0,20,0.05641990201691453,0.0424139531498308,0.0220780739488845
833885,37.84130905340665,0.03225391802042956,1.05293064979613,,-97.68242266036688,20.85851748951933,0.0,1.6955432345801273,-0.9803324816391752,TP,1.5,2.5,20,0.07467244218695494,0.04241852416652538,0.024418429547164607
815069,37.12839035713541,0.04689127823682155,1.0761851120707782,,-91.8265387195192,28.437147067768752,0.0,1.7840327356535586,-0.9789654876850545,TP,1.5,3.0,20,0.08928431613330193,0.04239303789648038,0.025823054295710256
796562,36.52684913415403,0.06498617726107993,1.1047469067715134,,-91.9920247167546,36.44150734159029,0.0,1.876421356811849,-0.9774391414314756,TP,1.5,4.0,20,0.10733901182482544,0.042352834563745514,0.028717712512421927
