rada,aken_min,n,mediaan_bp,keskm_bp,p75_bp,p90_bp,p95_bp,osa_60min
A_M5,5,15,17.03095326169702,16.384909608901797,29.779491580401796,36.976887165966026,41.39749212828809,0.944278309837227
A_M5,15,15,20.860878841449242,18.087730252965894,32.73682485091008,41.60856895022195,43.64394354082071,1.0712232776692823
A_M5,30,15,21.512759850967935,18.646543633834167,29.87968595705203,32.4297190865257,39.61612891569596,1.198209433817461
A_M5,60,15,11.624691494685596,15.613445851461735,28.8768417417093,30.500673512549977,33.990619414600495,1.0
B_M15,15,39,9.400719953132155,14.437078917779433,23.698901524808832,36.42129849003334,37.72943724110604,0.688243093572357
B_M15,30,39,11.458548671223632,15.487873317972241,26.30069393165449,38.127227943152,42.196672869903985,0.7928397225112729
B_M15,60,39,18.337840052937537,18.467245798594437,31.092172143779433,34.00106600044866,36.45885539406126,1.0
