train,test,train_n,train_ood,test_n,test_ood,test_pf,test_sharpe,test_dd,valitud_paare,test_valitud_n,test_valitud_ood,test_valitud_pf
2006-2010,2011-2012,661,0.09558331696508766,226,0.006151157813487039,1.010799191107073,0.052083067449383874,-18.246311292090578,9,130,0.0697353295331625,1.1235196877298992
2008-2012,2013-2014,623,0.035235490882254854,223,-0.05935554145754408,0.905193706518824,-0.4949003337903584,-21.124098558938485,8,117,-0.11518868049650632,0.8263804684924799
2010-2014,2015-2016,585,0.006200342193829832,237,-0.09954347905285575,0.8390670737962863,-0.8754106011054212,-24.347729088545822,7,112,-0.0352264217635475,0.9418677345484319
2012-2016,2017-2018,563,-0.07465610603937732,235,-0.01590927522379571,0.9730590390077742,-0.13570726844142236,-17.775136378310176,5,80,-0.06306167548305083,0.8962158672849618
2014-2018,2019-2020,585,-0.06932233021769367,239,-0.013006828329531801,0.9778572885701068,-0.11120353128439467,-25.88702968015124,6,87,0.007523457401232747,1.012662095203137
2016-2020,2021-2022,585,-0.031599519441979286,217,-0.1045592229135612,0.8342936874188833,-0.870437208023445,-29.688438590980915,6,87,-0.20578952744231618,0.6858779845717763
2018-2022,2023-2024,584,-0.023537219536185816,251,0.2781535942197029,1.5844261927563221,2.4154086871817446,-7.128394160103834,7,114,0.3583837993909554,1.8083815291112746
2020-2024,2025-2026,579,0.08184202695915668,194,0.02577396437467017,1.0481463418504278,0.22889876119366176,-13.25488099634925,10,128,0.05305920773317045,1.101327753983889
