n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,test,viivitus_med_min,hoid_med_min,staatus
15.0,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,0.0,-0.9659611671443592,A_M5,PRIMARY_D0_30min,5.0,35.0,
39.0,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,0.0,-0.8237756876515231,B_M15,PRIMARY_D0_30min,15.0,45.0,
,,,,,,,,,,,,,C_H1,PRIMARY_D0_30min,,,DATA INSUFFICIENT
408.0,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,0.0,-2.3439279918974094,C_H1,D0_60min,30.0,120.0,
15.0,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,0.0,-0.9659611671443592,A_M5,lavi_1.0,,,
39.0,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,0.0,-0.8237756876515231,B_M15,lavi_1.0,,,
7.0,1.7179797670898602,2.308873125239638,71.42857142857143,4.952982381386075,-6.369526768650677,1.9440150584512408,6.51324782691939,0.6978618566261863,0.4852635905459961,2.1714285714285717,0.0,-0.4534488043387116,A_M5,lavi_1.5,,,
21.0,1.3835938798127876,3.153469843633036,57.14285714285714,7.194249847265779,-6.363947410124533,1.5072929600937728,8.316488899562632,0.762391889400968,0.4458261454862251,2.171428571428571,0.0,-0.7878346916157835,B_M15,lavi_1.5,,,
5.0,2.4037109846639497,2.308873125239638,80.0,5.319244832183455,-9.258424405414072,2.2981209757776524,7.450251330951423,0.7214335357576666,0.4706428196262613,2.24,0.0,0.16371098466394945,A_M5,lavi_2.0,,,
13.0,3.826972551106816,4.147725566745527,69.23076923076923,7.49559404036651,-4.427425799727493,3.8092307705896937,7.652843486680281,1.803035144626279,0.07138269541501119,2.169230769230769,0.0,1.6577417818760467,B_M15,lavi_2.0,,,
