rada,n,signaal_bp,juhuslik_med_bp,juhuslik_p95_bp,vahe_bp,p,boot_lo_bp,boot_hi_bp,signaal_wr,juhuslik_wr
A_M5,15,1.2207054995223077,-0.03272188030905889,2.14653458631831,1.2534273798313667,0.1745,-1.1297936886654139,3.7158633092073576,66.66666666666666,50.26666666666667
B_M15,39,1.3967371328612972,-0.03419003030479917,2.3829405976455864,1.4309271631660962,0.187,-1.368238940243578,4.255534225501488,53.84615384615385,49.48717948717949
C_H1,408,-0.09049661934838968,0.029151367298268963,1.3582995494740207,-0.11964798664665864,0.5585,-1.6564346983539309,1.4885592445601532,45.588235294117645,48.955882352941174
