n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,variant,lõige,kulu
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,BASE,ALL_2006_2026,0.04255890998748055
1029,42.75996112730807,0.059349820241689936,1.1065735678093016,0.5055381815909709,-32.85825460975115,1.4860292125569385,0.13727139425423207,61.07096502869894,BASE,OOS_2018_2026,0.042582220348573945
2483,40.71687474828836,0.020427992209624816,1.0347277173280798,0.17224409341023106,-53.84307096758298,0.7829542767542961,0.43365396266659717,50.72270465649842,spread +25%,ALL_2006_2026,0.05153997219446888
1029,42.66277939747328,0.050379977834821885,1.0896501784599846,0.4291938621243053,-34.54417981009244,1.2616151265956999,0.20708731042606043,51.84099719203172,spread +25%,OOS_2018_2026,0.05155206275544199
2483,40.67660088602497,0.01144693000263649,1.0192862072392483,0.09650803289365745,-57.55506283582608,0.4386877691954872,0.6608877905716464,28.422727196546404,spread +50%,ALL_2006_2026,0.06052103440145722
1029,42.66277939747328,0.04141013542795381,1.073029113964147,0.35282277488395886,-36.18794696683473,1.0371223567781407,0.2996788371688033,42.61102935536447,spread +50%,OOS_2018_2026,0.06052190516231004
2483,40.71687474828836,0.02277439325708595,1.038807259568128,0.19202811636843206,-53.46433324674291,0.872884706761184,0.38272592283839124,56.54881845734441,slippage 2x,ALL_2006_2026,0.049193571147007745
1029,42.66277939747328,0.052646969520588206,1.0938961451994371,0.4484698725223469,-34.24935300058789,1.3182769487807102,0.18741095456350543,54.17373163668526,slippage 2x,OOS_2018_2026,0.04928507106967566
2483,40.67660088602497,0.0048122688431092644,1.0080546322950525,0.040567042522040714,-60.64845902835971,0.18440190783354043,0.8536981732496041,11.948863537440303,spread +50% & slip 2x,ALL_2006_2026,0.06715569556098443
1029,42.66277939747328,0.03470728470685209,1.0608001662944213,0.2957253309846814,-37.51033804513848,0.8692844511828955,0.3846915653742533,35.7137959633508,spread +50% & slip 2x,OOS_2018_2026,0.06722475588341177
2483,40.63632702376158,-0.006515194411340195,0.989215718919666,-0.05490920555621685,-64.10823705030954,-0.2495957711654518,0.8028999692260794,-16.177227723357703,spread +100%,ALL_2006_2026,0.07848315881543388
1029,42.565597667638485,0.023470450614217687,1.0406625501745814,0.20001408979501478,-39.35318040865644,0.5879413092458834,0.556571687714323,24.15109368203,spread +100%,OOS_2018_2026,0.07846158997604616
2483,41.15988723318566,0.0719679644040937,1.1289688251330614,0.6065859678810648,-44.91600297932455,2.7573025487758964,0.005828039952760156,178.69645561536467,kulu = 0 (ainult bruto),ALL_2006_2026,0.0
1029,43.14868804664723,0.10193204059026387,1.1912847444441874,0.8675477876137035,-24.264789840476432,2.5501562545204433,0.01076746480923818,104.88806976738152,kulu = 0 (ainult bruto),OOS_2018_2026,0.0
