kulu_1suund_bp,kulu_rt_bp,bruto_bp,neto_bp,kordne,verdikt
0.0,0.0,1.4658034583176986,1.4658034583176986,inf,—
0.5,1.0,1.4658034583176986,0.46580345831769865,1.4658034583176986,KUKUB
1.0,2.0,1.4658034583176986,-0.5341965416823014,0.7329017291588493,KUKUB
1.25,2.5,1.4658034583176986,-1.0341965416823014,0.5863213833270795,KUKUB
1.5,3.0,1.4658034583176986,-1.5341965416823014,0.4886011527725662,KUKUB
2.0,4.0,1.4658034583176986,-2.5341965416823014,0.36645086457942466,KUKUB
