symbol,n,esimene,viimane,bid_min,bid_max,ask_min,ask_max,esimene_bid,esimene_ask,viimane_bid,viimane_ask,koik_pos,bid_le_ask,neg_spread,null_spread,spread_med,spread_p75,spread_p90,spread_p95,spread_max,ts_kasvav
AUDUSD,54333,2026-09-03 01:00:00.027000,2026-09-03 23:59:54.132000,0.71582,0.72076,0.7159,0.72088,0.71653,0.71663,0.71997,0.72006,True,True,0,0,0.7999999999996898,0.900000000000345,0.9999999999998899,1.100000000000545,13.900000000000023,True
EURUSD,69178,2026-09-03 00:00:00.263000,2026-09-03 23:59:59.714000,1.15835,1.16412,1.15838,1.16414,1.15849,1.15853,1.16278,1.16281,True,True,0,0,0.2999999999997449,0.40000000000040004,0.4999999999988347,0.5000000000010552,14.600000000000168,True
GBPUSD,96122,2026-09-03 00:00:00.170000,2026-09-03 23:59:59.741000,1.34801,1.35479,1.3481,1.35484,1.34824,1.34831,1.3528,1.35289,True,True,0,0,0.6000000000017103,0.7999999999985796,0.8999999999992347,0.9000000000014552,13.400000000001189,True
NZDUSD,82694,2026-09-03 00:00:00.025000,2026-09-03 23:59:59.750000,0.58481,0.58916,0.5849,0.58924,0.58514,0.58524,0.58836,0.58846,True,True,0,0,0.900000000000345,0.9999999999998899,1.000000000001,1.100000000000545,28.40000000000065,True
USDCAD,73423,2026-09-03 00:00:00.058000,2026-09-03 23:59:19.116000,1.37648,1.38462,1.37657,1.38474,1.38453,1.38463,1.37893,1.37905,True,True,0,0,1.0999999999983245,1.2000000000012,1.3999999999980695,1.5999999999993797,32.999999999998586,True
USDCHF,92845,2026-09-03 00:00:00.270000,2026-09-03 23:59:59.892000,0.8052,0.81304,0.80527,0.81314,0.81291,0.81299,0.80747,0.80755,True,True,0,0,0.7999999999996898,0.8999999999992347,0.9999999999998899,1.000000000001,22.299999999999542,True
USDJPY,217991,2026-09-03 00:00:00.115000,2026-09-03 22:59:58.901000,155.299,158.965,155.302,158.969,158.899,158.903,156.118,156.127,True,True,0,0,0.39999999999906777,0.49999999999954525,0.699999999997658,0.8000000000009777,9.999999999999432,True
