rada,n,signaal_bp,juhuslik_med_bp,juhuslik_p95_bp,pertsentiil,p,boot_lo_bp,boot_hi_bp
M1,10,2.0313460341955363,-0.07422976406156216,1.8044404472735132,96.8,0.037,0.1684650819832364,4.367825595067907
M5,15,-1.578455414339741,0.036173992366505724,1.2623123424371985,0.6,0.994,-2.776304040161904,-0.3881788897772896
M15,39,-0.1647091674585323,-0.01920517022873777,1.696000726217865,44.85,0.5515,-2.290919410314953,1.8758114865002313
