hoid_s,staatus,n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada
5,DATA INSUFFICIENT,,,,,,,,,,,,,,
10,DATA INSUFFICIENT,,,,,,,,,,,,,,
15,DATA INSUFFICIENT,,,,,,,,,,,,,,
30,DATA INSUFFICIENT,,,,,,,,,,,,,,
60,,10.0,2.0313460341955363,1.1558838853982059,50.0,4.527118908139565,-0.4644268397484928,9.747754696070528,3.49568400902862,1.8376032179731223,0.06612089429012658,2.22,0.0,-0.18865396580446422,M1
120,,10.0,3.341960414196196,0.0,40.0,8.935434585176106,-0.3870223664570773,15.39176261219533,5.449645194024603,1.9392467551038854,0.05247129889660007,2.22,0.0,1.1219604141961954,M1
300,,10.0,3.9381590976712073,1.1698039215528497,70.0,6.454933618920295,-1.9343147852433291,7.786484336667058,5.950095684524378,2.093000381345968,0.036349120513717637,2.22,0.0,1.7181590976712071,M1
600,,10.0,3.609767117459927,0.5849019607758428,50.0,8.380123106065852,-1.1605888711459975,7.220578548018548,6.720425019068443,1.698566070087074,0.08940097400755831,2.22,0.0,1.3897671174599266,M1
