n,bruto_bp,med_bp,neto_bp,wr,sd_bp,t,p,kum_bruto,kum_neto,indikaator,mark
34,3.3521475478369194,2.79135521791294,0.8521475478369194,55.88235294117647,28.710125210102245,0.6808124643421262,0.49599016214863845,0.01146249835861668,0.0029015028975427626,Core Inflation Rate,1
19,,,,,,,,,,Employment Change,1
14,,,,,,,,,,GDP Annual Growth Rate,1
22,-8.64009539956885,-1.4625203024548616,-11.14009539956885,40.909090909090914,28.46193252926232,-1.4238541106388463,0.1544887080740649,-0.018828693088019155,-0.02421032222971209,GDP Growth Rate,1
62,0.7688779585856946,-1.32769202054581,-1.7311220414143054,46.774193548387096,34.852278269650604,0.1737089051458035,0.8620942386362462,0.004778423770827267,-0.010675563991984327,Inflation Rate,1
43,4.190374590842239,1.7569790411113735,1.6903745908422394,55.81395348837209,29.746493252109595,0.9237432977514555,0.3556199833930682,0.0181819253331843,0.007295091211535265,Inflation Rate Mom,1
6,,,,,,,,,,Interest Rate,1
0,,,,,,,,,,Non Farm Payrolls,1
19,,,,,,,,,,Retail Sales MoM,1
16,,,,,,,,,,Retail Sales YoY,1
41,5.539052408147493,0.7229113993003494,3.0390524081474926,56.09756097560976,33.23064216705264,1.0673053066120066,0.2858339926027438,0.022969952786982217,0.01253806552631298,Unemployment Rate,-1
