n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,libisemine_bp,kulu_kokku_bp
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,0.0,-0.9659611671443592,A_M5,0.0,2.186666666666667
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,1.0,-1.965961167144359,A_M5,1.0,3.186666666666667
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,2.0,-2.9659611671443598,A_M5,2.0,4.186666666666667
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,3.0,-3.965961167144359,A_M5,3.0,5.186666666666667
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,5.0,-5.965961167144359,A_M5,5.0,7.186666666666667
15,1.2207054995223077,1.157617324064801,66.66666666666666,3.684836140367687,-3.70755578216845,1.987744140271586,4.946142241197041,0.9558504061802943,0.3391478178290226,2.186666666666667,10.0,-10.965961167144359,A_M5,10.0,12.186666666666667
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,0.0,-0.8237756876515231,B_M15,0.0,2.22051282051282
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,1.0,-1.8237756876515234,B_M15,1.0,3.22051282051282
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,2.0,-2.823775687651523,B_M15,2.0,4.22051282051282
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,3.0,-3.823775687651523,B_M15,3.0,5.22051282051282
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,5.0,-5.823775687651523,B_M15,5.0,7.22051282051282
39,1.3967371328612972,2.3152527746060985,53.84615384615385,8.051938070027823,-6.367663960499652,1.4752549453989532,9.163953400868584,0.951840348531319,0.34117795568987885,2.22051282051282,10.0,-10.823775687651525,B_M15,10.0,12.22051282051282
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,0.0,-2.3439279918974094,C_H1,0.0,2.2534313725490196
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,1.0,-3.3439279918974094,C_H1,1.0,3.2534313725490196
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,2.0,-4.343927991897409,C_H1,2.0,4.25343137254902
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,3.0,-5.343927991897409,C_H1,3.0,5.25343137254902
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,5.0,-7.343927991897409,C_H1,5.0,7.25343137254902
408,-0.09049661934838968,-1.1636057771265507,45.588235294117645,13.4466432397178,-11.43242460937682,0.9854520701498031,16.662248068964484,-0.10970561117938459,0.9126428502030135,2.2534313725490196,10.0,-12.343927991897411,C_H1,10.0,12.25343137254902
