n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,periood,algus,lopp
882364,38.088249293942184,0.025559202795753452,1.0407438968660219,7.852132619969824,-97.99577121723117,17.54227230178722,0.0,1.714105710483437,-1.013238434095027,2006-2010,2006-01-01,2010-12-31
823623,39.677376663837705,0.012344471458448147,1.0210687916903654,3.876640693650645,-99.2098265806936,8.660715496737275,0.0,1.5078041100260469,-0.9712983491521473,2011-2015,2011-01-01,2015-12-31
830917,39.731284833503224,0.009347626874956626,1.0158381855373024,2.943128007607841,-99.98239115764524,6.580583828830001,4.686029342337861e-11,1.5089952293775732,-0.9792735156250859,2016-2020,2016-01-01,2020-12-31
925230,39.9506068761281,0.005448178629268494,1.0093462257400043,1.7163459546123965,-99.99999999986412,4.093855317621193,4.242591070857671e-05,1.472759573369181,-0.9707478767612362,2021-2026,2021-01-01,2026-12-31
1376218,38.64329633822548,0.023112053967159683,1.0377750184737282,7.139249071347896,-96.43240100742527,20.182477124461375,0.0,1.6430958706861123,-0.9971760475202912,TRAIN_2006_2013,2006-01-01,2013-12-31
662270,39.950020384435355,0.015781432638092646,1.0268394734714976,4.954111873784033,-99.23596030453766,9.89804580574715,0.0,1.5113254101749822,-0.9791733162379943,VALID_2014_2017,2014-01-01,2017-12-31
1423646,39.77428377560152,0.0022961026442696285,1.003917550448896,0.7246828267726785,-100.0,2.1362708704455566,0.032657341771126225,1.4793549169189222,-0.9731834784256739,OOS_2018_2026,2018-01-01,2026-12-31
3462134,39.35832639637865,0.013150164443349118,1.022038353765937,4.107196628890065,-99.97341128235911,18.67960192580438,0.0,1.5494679742847526,-0.9839677285017532,ALL_2006_2026,2006-01-01,2026-12-31
