n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,sl,tp,hold,bruto,kulu,katse_sd
926501,36.79683022468405,0.014908793802334785,1.0218678839722226,,-99.8944404214689,9.967861397647173,0.0,1.8933028486031178,-1.0786905838123422,SL,0.75,2.0,20,0.09846384132207159,0.0835550475197368,0.022407921022444127
829474,37.0216546871873,0.01966726070767212,1.0297551223954164,,-99.20526222686279,12.66430605398938,0.0,1.8384857542979047,-1.049520408068195,SL,1.0,2.0,20,0.08270248784613807,0.06303522713846595,0.02224076083910454
750967,38.084496389322034,0.020511864723570212,1.032522398083147,,-99.77094598662639,12.976949867028925,0.0,1.7099123403256022,-1.018645738156501,SL,1.25,2.0,20,0.0712024025748636,0.05069053785129339,0.022578823192652368
692664,39.36757215619694,0.013743327303793788,1.023038949572869,,-99.84233328121422,8.730120484414968,0.0,1.5501822216890315,-0.9838395040173877,SL,1.5,2.0,20,0.05616554508884521,0.042422217785051425,0.02333255863086104
649132,40.94960655151802,0.01204390977982809,1.021537870057799,,-99.45727696265261,7.77950156406012,7.327471962526033e-15,1.3949848113815055,-0.9469824827199518,SL,1.75,2.0,20,0.04849269342166987,0.03644878364184178,0.021627023954677773
616617,42.576185865780545,0.012432098878042344,1.0238234273796085,,-98.75774828422591,8.244136455782654,0.0,1.254869384033177,-0.9087578564895892,SL,2.0,2.0,20,0.04438252317341004,0.0319504242953677,0.020132937918207368
572844,44.87888500185041,0.009379589882473454,1.0205610859766197,,-97.1312119454776,6.66386192888322,2.667244203280461e-11,1.0373725371959353,-0.82759871265627,SL,2.5,2.0,20,0.03496147747764607,0.025581887595172617,0.019721370916974554
546627,46.47428685374121,0.007704680627401189,1.019227710689345,,-97.95015680726252,5.928431951861259,3.058411079948087e-09,0.878790899283598,-0.7486254721264519,SL,3.0,2.0,20,0.02903079182457785,0.021326111197176662,0.01886040848354704
