null,n_perm,tegelik_bp,mediaan_bp,p95_bp,max_bp,p
A juhuslik suund,500,4.817628915366803,0.2945998727458705,6.753831698577917,10.415229317968707,0.116
B segatud CHANGE_D,500,4.817628915366803,0.0772596843797296,6.911325542498057,11.123463450020468,0.144
