n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,sl,tp,hold,bruto,kulu,katse_sd
1161039,47.09213041077862,-0.0017280034650548428,0.9954328030346026,,-100.0,-2.0450879082971163,0.040846192164619044,0.7997577876540238,-0.7151128683407147,HOLD,1.5,2.0,5,0.040726902756147196,0.042454906221202036,0.01401995737821957
995108,44.159327429786515,0.013947873336942597,1.0282623815104204,,-98.4967000100082,12.247443402002418,0.0,1.1491606270904358,-0.8837890160681211,HOLD,1.5,2.0,10,0.056402428134270335,0.04245455479732774,0.01854763356749817
912378,41.39019134613066,0.015353600049977512,1.0274984494436328,,-99.77934158922373,11.754859049945246,0.0,1.3860718979254423,-0.9526463633309387,HOLD,1.5,2.0,15,0.057798833352860596,0.042445233302883086,0.021242307575867356
865826,39.38331720230161,0.014005948867083737,1.023482281379572,,-99.84233328121422,9.946301659298786,0.0,1.5500306428502293,-0.9839659783595814,HOLD,1.5,2.0,20,0.05641990201691453,0.0424139531498308,0.0220780739488845
818321,37.30137684356139,0.014815561663845593,1.0232678570076743,,-99.82143239352158,9.7476214680423,0.0,1.7467317080244837,-1.0155556583812413,HOLD,1.5,2.0,30,0.057201659305355,0.042386097641509406,0.024609290899260814
796520,36.28709888012856,0.014502494378035025,1.0221647609116002,,-99.81139262792549,9.232629486531252,0.0,1.8430975051242529,-1.0269570342316654,HOLD,1.5,2.0,40,0.056854075600776474,0.04235158122274145,0.025166063637048573
778737,35.64566727919696,0.014246186642293409,1.0213601095126696,,-99.83152322552804,8.848261125132959,0.0,1.9110290889466384,-1.0363760384336893,HOLD,1.5,2.0,60,0.056536714320569025,0.04229052767827562,0.025828269919310736
