n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,sl,tp,hold,bruto,kulu,katse_sd
1071548,49.36055127721764,-0.043239068727650765,0.90555527855847,,-100.0,-48.818113069344044,0.0,0.8399116528781387,-0.9040858508080845,HOLDxTP,1.5,1.0,10,-0.0009179941526386891,0.04232107457501207,0.014103554725136733
995108,44.159327429786515,0.013947873336942597,1.0282623815104204,,-98.4967000100082,12.247443402002418,0.0,1.1491606270904358,-0.8837890160681211,HOLDxTP,1.5,2.0,10,0.056402428134270335,0.04245455479732774,0.01854763356749817
977073,43.550788937981096,0.03811565168801014,1.076564407170472,,-91.03409075973511,30.560042423795636,0.0,1.2306099320484705,-0.8818983881303637,HOLDxTP,1.5,3.0,10,0.0805502355156631,0.04243458382765295,0.02027127306522678
1010186,49.796671108092966,-0.043345840065782675,0.9144892631294449,,-100.0,-44.36753647714723,0.0,0.9309043826002317,-1.009704425958412,HOLDxTP,1.5,1.0,20,-0.0012168755824486478,0.042128964483334023,0.015362619590813033
865826,39.38331720230161,0.014005948867083737,1.023482281379572,,-99.84233328121422,9.946301659298786,0.0,1.5500306428502293,-0.9839659783595814,HOLDxTP,1.5,2.0,20,0.05641990201691453,0.0424139531498308,0.0220780739488845
815069,37.12839035713541,0.04689127823682155,1.0761851120707782,,-91.8265387195192,28.437147067768752,0.0,1.7840327356535586,-0.9789654876850545,HOLDxTP,1.5,3.0,20,0.08928431613330193,0.04239303789648038,0.025823054295710256
991766,49.91278184571764,-0.0431128998446393,0.9169907332726706,,-100.0,-43.02330897603813,0.0,0.954187733118104,-1.0369402825979694,HOLDxTP,1.5,1.0,40,-0.0011765798541687167,0.04193631999047058,0.01602247184163546
796520,36.28709888012856,0.014502494378035025,1.0221647609116002,,-99.81139262792549,9.232629486531252,0.0,1.8430975051242529,-1.0269570342316654,HOLDxTP,1.5,2.0,40,0.056854075600776474,0.04235158122274145,0.025166063637048573
704115,31.28196388374058,0.04923718433150789,1.0701972250049567,,-94.23170427815595,24.743947708040324,0.0,2.3996233293395606,-1.020710367379584,HOLDxTP,1.5,3.0,40,0.09162220202865112,0.042385017697143236,0.030181698420627207
