perm_lopp_pct,perm_maxdd_pct,boot_lopp_pct,boot_maxdd_pct
68.4588198223701,-34.431974632543216,279.7529621666977,-39.42017420311766
68.45881982237019,-43.41774135475853,54.34312711349214,-46.47087568065239
68.45881982236939,-46.55957436905569,8.856400633415419,-40.136165424235536
68.45881982237043,-51.30579688808881,107.00807477259988,-63.70940923188662
68.45881982236992,-58.193713108713474,98.57723804073039,-36.32762359875974
68.45881982236956,-41.587921305502284,212.6597257276023,-33.655893757553066
68.4588198223699,-32.20145051900003,-51.17276426943109,-61.94595180834097
68.45881982237066,-35.45182867937723,-8.431609336001223,-48.9494478744831
68.45881982236959,-43.08840791908295,75.67026418529335,-46.11045665794096
68.45881982237007,-44.24468144830656,494.3719128396803,-29.967949273661464
68.45881982237006,-58.0781055822021,258.083475932664,-33.700941396761976
68.45881982237,-35.36085459114372,127.63352919968173,-48.733554902314744
68.45881982236959,-43.282709541015706,57.10116777398919,-42.46349327650796
68.45881982236986,-47.028209298227516,128.16759770090073,-32.1188255565361
68.45881982236999,-36.017075976709535,209.77493299296916,-43.19004486263083
68.45881982236963,-40.19584588911825,105.71032944889555,-48.15078615969411
68.45881982236979,-32.78395934070994,258.86116054011836,-32.571536933229126
68.45881982236952,-36.0132343777874,23.25025907567042,-36.456919858607606
68.45881982237019,-30.027078533235297,392.5276309117723,-25.11815327474367
68.45881982236963,-33.41755203114122,451.3967251907905,-25.573584891226496
68.45881982237006,-42.87555047331721,113.59443313702293,-32.7809675724587
68.45881982236952,-48.862548441128084,61.52608219827942,-55.85677866702448
68.4588198223699,-35.210875242439535,133.27683996724485,-35.45623959325634
68.45881982237027,-51.92010663700981,92.88071941500009,-38.10522652395586
68.4588198223696,-40.792338380064976,28.43581417216905,-46.45317331117451
68.45881982236976,-37.8481881949555,181.15303481368517,-33.81584480039345
68.4588198223703,-50.93209693166521,80.94078613115944,-53.146322037578464
68.45881982236983,-34.03452930135244,20.23691006759489,-55.64523932920481
68.4588198223697,-41.51898731414811,802.9661563812801,-41.31241150815321
68.45881982236996,-40.661118373460866,-2.17745518415966,-47.49093359103631
68.45881982236975,-48.093788286840486,102.88457642150112,-35.601319172159286
68.45881982237007,-38.06780345780605,84.46734204307702,-59.339139553518464
68.458819822369,-44.30703220099672,218.22916319424456,-29.24646183977815
68.45881982237006,-53.50852458888779,19.219821460560382,-35.9108604903803
68.45881982237032,-41.58227126667335,59.28765368973317,-35.48856053581141
68.45881982236988,-47.01076657846565,21.337963827512475,-36.21909129421561
68.45881982237015,-43.97498257819004,29.624236374424704,-57.78828194925458
68.45881982237057,-42.110640316627915,25.913078401267175,-43.056224198379866
68.45881982237003,-45.29361513628436,-80.40986414990135,-82.37896067019534
68.45881982237023,-47.09951119396506,-36.02807886659002,-66.19318310981363
68.45881982236952,-42.276482114984184,72.20884640866039,-39.738634377657014
68.45881982236976,-47.35995713117078,14.187757268275035,-40.2726444286648
68.45881982236996,-56.17104075637531,223.05165463046728,-33.125669140482394
68.45881982237015,-42.42640633736809,38.323879581049106,-42.599165904972516
68.4588198223698,-36.4501384611956,155.51704601997457,-38.412703352258184
68.45881982237032,-31.332938278596078,155.96448473360667,-27.10193070254845
68.45881982236939,-51.59893121885173,58.10698332435107,-43.115520929430254
68.45881982236988,-46.071989802292926,432.32533513547304,-28.896596787904848
68.45881982237012,-43.96314829269454,101.03244176902714,-33.08469673446609
68.45881982237042,-37.408972578013056,107.5195662766319,-43.326657056713024
68.45881982237032,-52.97598436564452,4.759362560447067,-73.67714887947065
68.45881982237007,-32.874019105988516,29.68925311382089,-35.09876129170133
68.45881982237015,-38.79065412245703,299.31395592660925,-46.04365433261714
68.45881982236963,-37.426713475989345,-23.77546336193843,-60.83173117572731
68.45881982236948,-45.52337012594223,55.7590438043736,-40.137445042757825
68.45881982236943,-54.73086350018151,-51.82137073594939,-75.07679428941255
68.45881982237015,-34.48122878273855,260.8535018207839,-45.21801618036759
68.45881982236968,-43.78515142090309,57.283781098435036,-43.47224299886978
68.45881982236986,-57.05637363937961,465.8509801544234,-36.70000706233644
68.45881982237006,-45.70227207724065,413.5899003726899,-19.490317547726665
68.45881982237023,-38.18674732268856,-7.522150471560729,-39.26030610794384
68.45881982237034,-45.463917702402945,5.687419617245615,-52.36000709036289
68.45881982236992,-44.998934243944376,82.02000885618166,-53.54713440717418
68.45881982236935,-46.921247748866634,49.19236179724358,-53.753423927099384
68.45881982236949,-52.711542993513504,88.09231351332443,-59.94873906364311
68.4588198223702,-28.63855545675561,25.25621022961746,-48.35050540155752
68.45881982236986,-44.839236178915534,33.49996657492209,-51.603692905790766
68.4588198223699,-50.95919696716855,197.43164197619382,-49.653580580768384
68.4588198223698,-32.27954819606767,-3.7931686726736857,-47.051136182544404
68.45881982236865,-38.39735313419583,143.19028112816562,-43.24037545965063
68.45881982236992,-42.62806552759651,469.96529773346884,-33.86845554907727
68.45881982236983,-46.61781273932738,96.42208513639898,-36.31304976445063
68.45881982236932,-52.07104233594403,813.7814614252019,-25.154981877796455
