n,bruto_bp,med_bp,wr,v_bp,k_bp,pf,sd_bp,t,p,kulu_bp,lib_bp,neto_bp,rada,osa,staatus
133.0,-2.0501194813637054,-3.502737397135513,36.84210526315789,13.708583583589148,-11.242696269252871,0.7112772208356639,15.278508847308267,-1.5474763592224745,0.12174842079985959,2.290225563909775,0.0,-4.34034504527348,C_H1,TRAIN  .. 2024,
151.0,0.03000860660040237,-1.1677638794712637,46.35761589403973,15.885278161909921,-13.672076194284367,1.0040916953309937,20.271441325423318,0.01819071103924047,0.9854867129287204,2.2370860927152316,0.0,-2.2070774861148292,C_H1,VALID  2025,
124.0,1.8646126671820085,1.1428425975046614,54.03225806451613,10.707247397879827,-8.52936148995402,1.475574914777831,12.609156214770046,1.646696064667124,0.09962053351221667,2.2338709677419355,0.0,-0.3692583005599271,C_H1,FINAL OOS 2026,
,,,,,,,,,,,,,A_M5,—,VALIM LIIGA LUHIKE
,,,,,,,,,,,,,B_M15,—,VALIM LIIGA LUHIKE
