n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,parameeter,variant,vaartus,baseline
2480,40.806451612903224,0.031046193066489234,1.0533081929218213,0.2614970169353242,-49.7019902873042,1.1886631565378332,0.23457224434133073,76.9945588048933,EMA_F,-10%,18.0,20.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,EMA_F,baseline,20.0,20.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,EMA_F,+10%,22.0,20.0
2484,40.57971014492754,0.027382676740607438,1.0468338626424507,0.2307393283650451,-49.75473392779439,1.0488507349192795,0.2942468226098034,68.01856902366887,EMA_M,-10%,45.0,50.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,EMA_M,baseline,50.0,50.0
2476,40.54927302100161,0.02324413913288835,1.0397318651899083,0.19608444582927098,-52.78646220316325,0.8913231938895885,0.3727558091569745,57.552488493031554,EMA_M,+10%,55.0,50.0
2485,40.643863179074444,0.029620131913791932,1.050748879620858,0.24961323138491928,-49.92279529904917,1.1346441156726106,0.2565244611201454,73.60602780577295,EMA_S,-10%,180.0,200.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,EMA_S,baseline,200.0,200.0
2478,40.63761097659403,0.02740212550884221,1.0469385420815178,0.23096204509694815,-48.83078110566132,1.0498631180686566,0.29378105069719385,67.902467010911,EMA_S,+10%,220.0,200.0
2456,40.75732899022802,0.0359953105840335,1.0623103649439831,0.3021374349349844,-53.79346586695093,1.3738534737875991,0.16948717620292442,88.40448279438627,RSI_MOM_HI,-10%,49.5,55.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,RSI_MOM_HI,baseline,55.0,55.0
2196,39.298724954462664,0.0016599688467108875,1.0027888771492186,0.013194442782782033,-57.8310074830754,0.059988695458634604,0.9521646381929709,3.645291587377109,RSI_MOM_HI,+10%,60.50000000000001,55.0
2262,39.6551724137931,0.013643801782421899,1.0229616056790154,0.10955585050381635,-56.02267944325609,0.4979320539047426,0.6185319336946582,30.862279631838334,RSI_MOM_LO,-10%,40.5,45.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,RSI_MOM_LO,baseline,45.0,45.0
2624,40.70121951219512,0.025653375783850366,1.0439847326657878,0.22304548249466707,-52.47460115758486,1.0138775209783304,0.31064119883441377,67.31445805682336,RSI_MOM_LO,+10%,49.50000000000001,45.0
2589,39.35882580146775,0.025730351105840873,1.042348632579,0.2155307689426645,-55.415978888259644,0.9797185724905536,0.3272250557725025,66.61587901302202,SL_ATR,-10%,1.35,1.5
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,SL_ATR,baseline,1.5,1.5
2403,41.69787765293383,0.025121051562188332,1.044754904161716,0.21490326828009346,-60.20324997687165,0.9768661999203313,0.32863539711939227,60.36588690393856,SL_ATR,+10%,1.6500000000000001,1.5
2545,40.74656188605108,0.02151718272847266,1.037875419423828,0.18812168433399568,-58.75921895953851,0.855127594702035,0.39248051453782784,54.76123004396292,MAX_HOID,-10%,18.0,20.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,MAX_HOID,baseline,20.0,20.0
2441,40.3113478082753,0.022087279337939112,1.0371277820247502,0.18254063093122624,-58.40295644259126,0.8299232107057933,0.40658220085918595,53.91504886390937,MAX_HOID,+10%,22.0,20.0
2507,41.48384523334663,0.014384257592694861,1.0249509447064264,0.12686515612968402,-57.265829244920475,0.57667937748243,0.564156066085943,36.06133378488602,TP_R,-10%,1.8,2.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,TP_R,baseline,2.0,2.0
2459,40.219601464009756,0.03865775602719601,1.065837089410862,0.31443960667775805,-51.45439322589027,1.4293194614397493,0.1529124348898221,95.05942207087499,TP_R,+10%,2.2,2.0
2589,40.672074159907304,0.03645806370364225,1.0625463767017351,0.3124001905552115,-48.123987775375696,1.4200490734478284,0.15559339488338297,94.38992692872978,RSI_N,-10%,13.0,14.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,RSI_N,baseline,14.0,14.0
2391,41.0706817231284,0.031656920857252725,1.0546151620864965,0.2628137472703622,-48.533906792546524,1.19464849761246,0.23222439251211613,75.69169776969127,RSI_N,+10%,15.0,14.0
2484,40.78099838969404,0.029312611083809854,1.0503428509591328,0.24745706440246198,-53.34628547965027,1.1248430239376934,0.2606555592703619,72.81252593218368,ATR_N,-10%,13.0,14.0
2483,40.75714861055175,0.02940905441661315,1.0504495922260495,0.24798257920301317,-49.806799253991095,1.1272318086701214,0.259644485064245,73.02268211645045,ATR_N,baseline,14.0,14.0
2486,40.78841512469831,0.032337289280356604,1.0554672049972424,0.27229446715133604,-49.94619164822572,1.2377441418842132,0.21581094605817874,80.39050115096651,ATR_N,+10%,15.0,14.0
