loik,algus_min,lopp_min,n,keskm_bp,med_bp,wr,t,p,kaubeldav
0 -> 5 min  HUPE,0,5,15,5.905794267909377,1.161618982377788,66.66666666666666,0.9836292695504987,0.3252978283239729,False
5 -> 15 min,5,15,15,0.46770550159585017,0.0,33.33333333333333,0.4629990771764812,0.6433650285722377,True
15 -> 30 min,15,30,15,2.1020973395149762,3.4879325781965567,60.0,1.5058349694637825,0.13210954387415352,True
30 -> 60 min,30,60,15,-0.562642388680948,1.1611335384171388,60.0,-0.31247069261375243,0.7546828327077078,True
