rada,paar,strateegia,ulatus,algus,lopp,aastaid,n,wr,bruto_r,neto_r,oodatav,pf,sharpe,maxdd,avg_win,avg_loss,avg_r,kokku,aastane,teh_aastas,t,p
A_H1,AUDCAD,BREAKOUT_RETEST,ALL,2023-11-28,2026-09-11,2.78,387,28.940568475452196,-83.135412405582,-144.57958422693216,-0.37359065691713733,0.5260431052454184,-3.638780239588449,-76.90012098159653,1.4327533617875734,-1.109265311807783,-0.37359065691713733,-77.16218192307242,-41.16113280282762,138.98893805309734,-6.071852203804243,1.2644327807009859e-09
A_H1,AUDCAD,BREAKOUT_RETEST,TRAIN,2023-11-28,2024-10-30,0.92,121,28.09917355371901,-27.382850028318074,-46.90958317334528,-0.387682505564837,0.5234900940843438,-3.583725203796433,-37.363559835238924,1.515720734054218,-1.1315412428872265,-0.387682505564837,-38.07415076375411,-40.604480820055464,131.53348214285714,-3.4372350160846827,0.0005876854408985999
A_H1,AUDCAD,BREAKOUT_RETEST,VALID,2024-11-04,2025-08-29,0.82,116,26.72413793103448,-34.98074856873614,-52.55858595730192,-0.45309125825260277,0.43356476000941835,-4.8064477664546175,-41.57019145937837,1.297734019662296,-1.0916275360803895,-0.45309125825260277,-41.37721991969821,-48.03323378604247,142.17785234899327,-4.34147442260955,1.4152975633674458e-05
A_H1,AUDCAD,BREAKOUT_RETEST,OOS,2025-09-01,2026-09-11,1.03,149,31.543624161073826,-19.771813808527774,-43.958941329523284,-0.2950264518759952,0.6098193853449896,-2.8312328471568455,-38.72624104087619,1.4617897224007153,-1.1045397870819302,-0.2950264518759952,-36.35703231815203,-35.604886696480406,145.126,-2.8687725044984984,0.004120680639013274
A_H1,AUDCAD,BREAKOUT_RETEST,OOS_HIGH_VOLATILITY,2025-09-03,2026-09-11,1.02,82,37.80487804878049,2.0141600438620606,-10.589554376359354,-0.12914090702877262,0.8163065524891258,-0.8607473269111284,-15.800775664367672,1.5180134116142339,-1.130352355615698,-0.12914090702877262,-10.708215819319589,-10.497840524242685,80.29624664879357,-0.8698312098730424,0.3843926529043844
A_H1,AUDCAD,BREAKOUT_RETEST,ALL_HIGH_VOLATILITY,2023-12-01,2026-09-11,2.78,182,32.417582417582416,-25.3704526028844,-52.16067738716482,-0.2865971285009056,0.6198849809860203,-1.8406063829401573,-44.04652796440773,1.44174115429294,-1.1156374430117744,-0.2865971285009056,-41.5332216528015,-17.57878245236675,65.5576923076923,-3.0667952996190864,0.0021636697316722575
A_H1,AUDCAD,BREAKOUT_RETEST,OOS_LOW_VOLATILITY,2025-09-01,2026-08-17,0.96,67,23.88059701492537,-21.785973852389837,-33.369386953163925,-0.4980505515397601,0.39345026832213414,-3.7461098429874173,-31.368935238841356,1.3528563245495229,-1.0787272185481627,-0.4980505515397601,-28.724721691004085,-29.8396863277666,70.11962750716333,-3.6618294128760605,0.0002504205938302917
A_H1,AUDCAD,BREAKOUT_RETEST,ALL_LOW_VOLATILITY,2023-12-08,2026-08-17,2.69,201,26.368159203980102,-53.76495980269762,-87.877136743821,-0.4371996852926418,0.46181015556961963,-3.233690914027065,-59.983088394933894,1.4227480833382031,-1.1032620618969307,-0.4371996852926418,-59.113216095965115,-28.29817384801421,74.76094704684317,-5.302237024254396,1.1439218305930865e-07
A_H1,AUDCAD,BREAKOUT_RETEST,OOS_TRENDING,2025-09-10,2026-08-26,0.96,52,25.0,-14.783628301213072,-22.86202309856414,-0.4396542903570027,0.4756184932970725,-2.625581062501996,-22.47346047346157,1.5950807454363944,-1.1178993022881352,-0.4396542903570027,-20.785460383251085,-21.640240142380694,54.421203438395416,-2.566510423755474,0.010272753763353792
A_H1,AUDCAD,BREAKOUT_RETEST,ALL_TRENDING,2023-11-28,2026-08-26,2.74,125,26.400000000000002,-31.758768259361158,-51.46590330303915,-0.4117272264243132,0.5046282758637638,-2.2343215214486265,-40.388737165958624,1.58871511758036,-1.1292771976433809,-0.4117272264243132,-40.86289841461834,-17.44276812717992,45.61063936063936,-3.698857456784704,0.00021657218095727515
A_H1,AUDCAD,BREAKOUT_RETEST,OOS_RANGING,2025-09-01,2026-09-03,1.0,55,38.18181818181819,5.357928418363008,-3.8935394233016454,-0.07079162587821174,0.8948466166709653,-0.38591148887715754,-10.115852098141087,1.5777952030476885,-1.089036431979503,-0.07079162587821174,-4.295589504165931,-4.275550722504395,54.73773841961853,-0.3868348812148991,0.6988784522180282
A_H1,AUDCAD,BREAKOUT_RETEST,ALL_RANGING,2023-12-13,2026-09-03,2.72,172,29.651162790697676,-32.20733705114374,-59.80320713528569,-0.3476930647400331,0.5435889159414615,-2.3004378874983646,-48.04038688301071,1.3965892948540253,-1.0828864559738927,-0.3476930647400331,-45.74061690628466,-20.103162823550612,63.13869346733668,-3.7968805964683408,0.00014652832339212551
A_H1,AUDCAD,MEAN_REVERSION,ALL,2023-12-13,2026-09-04,2.72,138,55.79710144927537,17.98512767472785,-4.310183360746155,-0.03123321275903011,0.9372199849874635,-0.22602559777576833,-10.14124919166266,0.8356514024790141,-1.1254973992070534,-0.03123321275903011,-4.853291893079026,-1.809681946165398,50.65778894472362,-0.37305602170951135,0.7091067493032583
A_H1,AUDCAD,MEAN_REVERSION,TRAIN,2023-12-13,2024-10-23,0.86,44,50.0,0.7724173827027795,-6.382771636726306,-0.14506299174377968,0.7422214195612296,-1.039300532573945,-8.602990270681554,0.8353592410556497,-1.125485224543209,-0.14506299174377968,-6.389217871299834,-7.392580754131939,51.18152866242038,-0.9636312191486451,0.3352308491363951
A_H1,AUDCAD,MEAN_REVERSION,VALID,2024-11-06,2025-08-20,0.79,45,55.55555555555556,5.915672710004522,-0.7868259006970366,-0.017485020015489704,0.964331584978947,-0.13350296550364926,-4.696158679861173,0.8509052812958504,-1.1029728966546646,-0.017485020015489704,-0.9984543249547451,-1.2689472120361978,57.2691637630662,-0.11834141256436466,0.9057971454404283
A_H1,AUDCAD,MEAN_REVERSION,OOS,2025-09-02,2026-09-04,1.0,49,61.224489795918366,11.29703758202055,2.8594141766771877,0.05835539136075893,1.1309542878640888,0.4187912881912706,-7.635586215717316,0.823154088508785,-1.1492214988729663,0.05835539136075893,2.6658289625503873,2.6529501014604495,48.76634877384196,0.4197933538922787,0.6746364204658224
A_H1,AUDCAD,MEAN_REVERSION,OOS_HIGH_VOLATILITY,2025-09-18,2026-09-04,0.96,21,57.14285714285714,3.2970375820204443,-0.028708489462011433,-0.001367070926762449,0.9971801375292053,-0.006359307142470863,-4.939755949856217,0.8460086194060427,-1.1312013247038357,-0.001367070926762449,-0.12981763745013586,-0.13508445031945593,21.852564102564102,-0.006234020800567197,0.9950260032689429
A_H1,AUDCAD,MEAN_REVERSION,ALL_HIGH_VOLATILITY,2024-02-01,2026-09-04,2.59,43,55.81395348837209,6.06945496472332,-0.43285310522138054,-0.010066351284218152,0.9792514475619845,-0.04155347741646661,-4.939755949856206,0.8512080363518036,-1.0979918935612982,-0.010066351284218152,-0.6358610213818672,-0.24598635518204848,16.602272727272727,-0.06687408141983843,0.946681946866825
