n,wr,neto,pf,sharpe,maxdd,t,p,avg_win,avg_loss,test,suund,bruto
3462134,39.35832639637865,0.013150164443349118,1.022038353765937,,-99.97341128235911,18.67960192580438,0.0,1.5494679742847526,-0.9839677285017532,SUUND,LONG + SHORT,0.05556027428891381
3452250,40.16426967919473,0.03232966725180764,1.0548664377880035,,,45.710424793389706,0.0,1.5475763014394213,-0.9847678783068943,SUUND,ainult LONG,0.07471159323371164
3472714,38.745920337810716,-0.00010184114824209494,0.9998308662664526,,-100.0,-0.14515559864717006,0.8845880217065045,1.5537946085591836,-0.983010218608287,SUUND,ainult SHORT,0.042260588200031306
