siht_viivitus_s,siht_hoid_s,n,keskm,mediaan,kokku,voidu_osa,sd,t,p,keskm_voit,keskm_kaotus,max_voit,max_kaotus
0,5,30,7.756666666667136,1.2000000000000899,232.7000000000141,0.5666666666666667,14.893846989979117,2.8525211164318214,0.007917258114599783,15.747058823529581,-2.692307692306836,35.199999999999676,-29.69999999999917
0,10,30,9.673333333333629,2.349999999999852,290.20000000000886,0.7333333333333333,18.716780841198865,2.830776786823827,0.008349117433940642,15.068181818182076,-5.1624999999996035,43.69999999999985,-38.10000000000091
0,15,30,9.866666666666884,3.449999999999842,296.00000000000654,0.8,17.783784425867726,3.0388334514767212,0.004990147321472995,14.037500000000184,-13.633333333332615,45.29999999999923,-36.49999999999931
0,30,30,11.143333333333773,4.050000000000442,334.3000000000132,0.9,18.985814728884492,3.214744860635617,0.0031956823613153145,13.637037037037437,-11.299999999999185,61.500000000000995,-30.69999999999906
0,60,30,11.460000000000333,3.650000000000597,343.80000000001,0.8666666666666667,20.07310088925799,3.12702085424601,0.003995504194592752,14.880769230769486,-10.774999999999181,56.499999999999325,-37.799999999998946
0,120,30,11.086666666667018,3.800000000001025,332.60000000001054,0.8666666666666667,19.552100748465772,3.105762137273474,0.004216346267251694,14.369230769231136,-10.249999999999737,67.50000000000034,-35.00000000000058
1,5,30,6.406666666666846,-0.10000000000065512,192.20000000000536,0.43333333333333335,16.07628223734317,2.1827657663279405,0.03729577713277949,17.976923076923246,-2.4411764705880503,41.20000000000123,-27.800000000000047
1,10,30,8.199999999999864,0.2999999999997449,245.9999999999959,0.5666666666666667,19.504535281613833,2.302708014671893,0.028664201971493046,17.65294117647012,-4.918181818181466,46.39999999999977,-40.10000000000069
1,15,30,8.446666666666506,1.4500000000000624,253.39999999999515,0.8,18.681979761687444,2.4764130611831545,0.019349514816607166,12.64999999999993,-8.36666666666718,45.100000000000136,-36.10000000000113
1,30,30,9.116666666666587,1.2999999999996348,273.4999999999976,0.7333333333333333,19.447667767863674,2.567610698718372,0.015659965522879505,14.440909090909173,-7.366666666667364,59.099999999998595,-32.40000000000131
1,60,30,9.756666666666744,1.300000000000745,292.7000000000023,0.7333333333333333,21.36135220008529,2.501689204567666,0.01825394700990324,15.745454545454699,-6.712500000000132,55.19999999999969,-39.00000000000014
1,120,30,9.479999999999945,0.9999999999998899,284.3999999999984,0.7,20.76617607951726,2.5004169401561054,0.018307697734731447,16.100000000000108,-5.966666666667101,66.89999999999863,-36.599999999999966
3,5,30,1.6700000000000883,-0.0999999999995449,50.10000000000265,0.4666666666666667,6.5044891659795425,1.4062544308903115,0.17027404681662983,6.099999999999757,-2.2062499999996206,19.400000000000528,-14.799999999999258
